Timestamp,CPU_Power_W_Actual,CPU_Temp_C,CPU_Fan_RPM,Ambient_Temp_C,Set_PPT_W,Mprime_Threads,Thermal_Resistance_Recalculated,Thermal_Resistance_Calculated
2025-06-03 13:07:38.480,18.001,44.78,659,22.8,18,6,1.2210432753735905,1.2210432753735905
2025-06-03 13:07:39.753,18.001,44.94,659,22.8,18,6,1.229931670462752,1.229931670462752
2025-06-03 13:07:47.336,18.0,44.89,660,22.8,18,6,1.2272222222222222,1.2272222222222222
2025-06-03 13:07:46.076,18.001,44.76,660,22.8,18,6,1.219932225987445,1.219932225987445
2025-06-03 13:07:43.565,18.0,44.88,661,22.8,18,6,1.2266666666666668,1.2266666666666668
2025-06-03 13:07:44.827,17.998,44.94,661,22.8,18,6,1.230136681853539,1.230136681853539
2025-06-03 13:07:29.693,18.001,44.79,662,22.8,18,6,1.2215988000666629,1.2215988000666629
2025-06-03 13:06:29.041,17.0,44.08,662,22.8,17,6,1.251764705882353,1.251764705882353
2025-06-03 13:06:30.307,17.0,44.08,662,22.8,17,6,1.251764705882353,1.251764705882353
2025-06-03 13:05:18.120,15.997,42.98,662,22.8,16,6,1.2614865287241357,1.2614865287241357
2025-06-03 13:07:28.435,18.002,44.82,662,22.8,18,6,1.2231974225086102,1.2231974225086102
2025-06-03 13:05:16.842,16.001,43.13,662,22.8,16,6,1.2705455909005687,1.2705455909005687
2025-06-03 13:06:39.175,17.0,44.01,663,22.8,17,6,1.247647058823529,1.247647058823529
2025-06-03 13:06:40.480,17.0,44.01,663,22.8,17,6,1.247647058823529,1.247647058823529
2025-06-03 13:06:34.137,17.0,43.99,664,22.8,17,6,1.2464705882352942,1.2464705882352942
2025-06-03 13:06:46.818,17.0,44.13,664,22.8,17,6,1.2547058823529411,1.2547058823529411
2025-06-03 13:06:37.935,16.999,44.04,664,22.8,17,6,1.2494852638390497,1.2494852638390497
2025-06-03 13:06:36.662,16.999,44.03,664,22.8,17,6,1.24889699394082,1.24889699394082
2025-06-03 13:06:35.398,16.999,43.96,664,22.8,17,6,1.244779104653215,1.244779104653215
2025-06-03 13:07:37.224,17.999,44.94,665,22.8,18,6,1.2300683371298404,1.2300683371298404
2025-06-03 13:07:35.959,18.0,44.9,665,22.8,18,6,1.2277777777777776,1.2277777777777776
2025-06-03 13:07:30.945,17.999,44.76,665,22.8,18,6,1.220067781543419,1.220067781543419
2025-06-03 13:07:32.199,18.001,44.84,665,22.8,18,6,1.224376423532026,1.224376423532026
2025-06-03 13:06:43.012,17.001,44.08,671,22.8,17,6,1.2516910769954706,1.2516910769954706
2025-06-03 13:06:41.752,17.0,44.07,671,22.8,17,6,1.2511764705882351,1.2511764705882351
2025-06-03 13:07:34.699,18.0,44.87,671,22.8,18,6,1.226111111111111,1.226111111111111
2025-06-03 13:07:33.435,18.0,44.86,671,22.8,18,6,1.2255555555555555,1.2255555555555555
2025-06-03 13:08:23.788,19.0,45.59,675,22.8,19,6,1.1994736842105265,1.1994736842105265
2025-06-03 13:08:25.047,18.998,45.63,675,22.8,19,6,1.2017054426781766,1.2017054426781766
2025-06-03 13:06:45.547,16.999,44.13,676,22.8,17,6,1.2547796929231134,1.2547796929231134
2025-06-03 13:06:44.275,17.0,44.11,676,22.8,17,6,1.2535294117647058,1.2535294117647058
2025-06-03 13:08:26.335,19.001,45.59,677,22.8,19,6,1.1994105573390874,1.1994105573390874
2025-06-03 13:08:27.586,19.001,45.48,677,22.8,19,6,1.1936213883479814,1.1936213883479814
2025-06-03 13:10:57.115,20.986,48.01,687,22.8,21,6,1.2012770418374152,1.2012770418374152
2025-06-03 13:10:58.372,20.986,48.04,687,22.8,21,6,1.2027065662822831,1.2027065662822831
2025-06-03 13:12:43.645,22.95,51.22,687,22.8,23,6,1.2383442265795206,1.2383442265795206
2025-06-03 13:12:44.853,22.959,51.64,687,22.8,23,6,1.2561522714403937,1.2561522714403937
2025-06-03 13:12:46.061,22.961,51.31,688,22.8,23,6,1.241670658943426,1.241670658943426
2025-06-03 13:12:47.260,22.954,51.27,688,22.8,23,6,1.2403067003572363,1.2403067003572363
2025-06-03 13:08:28.843,18.999,45.67,688,22.8,19,6,1.2037475656613508,1.2037475656613508
2025-06-03 13:08:30.108,19.001,45.7,688,22.8,19,6,1.2051997263301932,1.2051997263301932
2025-06-03 13:13:00.422,22.934,51.58,688,22.8,23,6,1.2549053806575388,1.2549053806575388
2025-06-03 13:13:01.631,22.937,51.6,688,22.8,23,6,1.2556132013776866,1.2556132013776866
2025-06-03 13:12:58.029,22.92,51.69,689,22.8,23,6,1.2604712041884814,1.2604712041884814
2025-06-03 13:12:59.224,22.932,51.69,689,22.8,23,6,1.259811616954474,1.259811616954474
2025-06-03 13:12:50.866,22.953,51.37,690,22.8,23,6,1.2447174661264322,1.2447174661264322
2025-06-03 13:12:52.064,22.955,51.57,690,22.8,23,6,1.2533217164016557,1.2533217164016557
2025-06-03 13:10:53.377,20.988,48.04,690,22.8,21,6,1.2025919573089383,1.2025919573089383
2025-06-03 13:10:52.130,20.987,48.06,690,22.8,21,6,1.2036022299518752,1.2036022299518752
2025-06-03 13:12:49.676,22.95,51.26,691,22.8,23,6,1.2400871459694989,1.2400871459694989
2025-06-03 13:12:48.459,22.956,51.51,691,22.8,23,6,1.250653423941453,1.250653423941453
2025-06-03 13:12:41.213,22.952,51.37,691,22.8,23,6,1.2447716974555592,1.2447716974555592
2025-06-03 13:12:42.438,22.945,51.1,691,22.8,23,6,1.233384179559817,1.233384179559817
2025-06-03 13:10:55.864,20.987,48.01,691,22.8,21,6,1.2012198027350265,1.2012198027350265
2025-06-03 13:10:54.622,20.987,47.99,691,22.8,21,6,1.2002668318482872,1.2002668318482872
2025-06-03 13:12:56.834,22.922,51.69,692,22.8,23,6,1.2603612250239942,1.2603612250239942
2025-06-03 13:12:55.651,22.918,51.57,692,22.8,23,6,1.255345143555284,1.255345143555284
2025-06-03 13:08:31.388,19.001,45.66,692,22.8,19,6,1.2030945739697907,1.2030945739697907
2025-06-03 13:08:32.657,18.999,45.72,692,22.8,19,6,1.2063792831201643,1.2063792831201643
2025-06-03 13:08:33.922,19.0,45.7,693,22.8,19,6,1.205263157894737,1.205263157894737
2025-06-03 13:08:35.190,19.0,45.59,693,22.8,19,6,1.1994736842105265,1.1994736842105265
2025-06-03 13:12:39.992,22.947,51.27,693,22.8,23,6,1.2406850568701793,1.2406850568701793
2025-06-03 13:13:02.825,22.936,51.5,693,22.8,23,6,1.2513079874433206,1.2513079874433206
2025-06-03 13:12:38.794,22.944,51.22,693,22.8,23,6,1.2386680613668062,1.2386680613668062
2025-06-03 13:09:50.819,20.0,46.66,694,22.8,20,6,1.1929999999999998,1.1929999999999998
2025-06-03 13:09:53.352,20.0,46.87,694,22.8,20,6,1.2034999999999998,1.2034999999999998
2025-06-03 13:09:52.084,19.998,46.67,694,22.8,20,6,1.1936193619361937,1.1936193619361937
2025-06-03 13:09:49.545,20.002,46.68,694,22.8,20,6,1.193880611938806,1.193880611938806
2025-06-03 13:08:37.731,19.001,45.77,695,22.8,19,6,1.2088837429608967,1.2088837429608967
2025-06-03 13:12:53.263,22.939,51.46,695,22.8,23,6,1.2494005841579845,1.2494005841579845
2025-06-03 13:09:44.491,19.996,46.75,695,22.8,20,6,1.197739547909582,1.197739547909582
2025-06-03 13:08:36.477,19.001,45.73,695,22.8,19,6,1.2067785906004944,1.2067785906004944
2025-06-03 13:12:54.461,22.919,51.4,695,22.8,23,6,1.2478729438457177,1.2478729438457177
2025-06-03 13:09:45.740,20.0,46.71,695,22.8,20,6,1.1955,1.1955
2025-06-03 13:09:54.619,20.0,46.75,695,22.8,20,6,1.1975,1.1975
2025-06-03 13:10:49.627,20.99,48.01,695,22.8,21,6,1.2010481181515007,1.2010481181515007
2025-06-03 13:10:50.897,20.987,48.11,695,22.8,21,6,1.2059846571687236,1.2059846571687236
2025-06-03 13:09:55.908,20.0,46.84,695,22.8,20,6,1.2020000000000002,1.2020000000000002
2025-06-03 13:12:37.586,22.936,51.25,696,22.8,23,6,1.240408092082316,1.240408092082316
2025-06-03 13:12:35.219,22.937,51.14,696,22.8,23,6,1.2355582683001265,1.2355582683001265
2025-06-03 13:12:34.021,22.929,51.13,696,22.8,23,6,1.2355532295346503,1.2355532295346503
2025-06-03 13:12:36.388,22.94,51.19,696,22.8,23,6,1.2375762859633823,1.2375762859633823
2025-06-03 13:10:44.677,20.988,47.82,697,22.8,21,6,1.1921097770154374,1.1921097770154374
2025-06-03 13:09:47.011,20.0,46.71,697,22.8,20,6,1.1955,1.1955
2025-06-03 13:09:48.273,19.998,46.6,697,22.8,20,6,1.1901190119011902,1.1901190119011902
2025-06-03 13:10:45.913,20.989,48.01,697,22.8,21,6,1.2011053408928485,1.2011053408928485
2025-06-03 13:10:29.753,20.989,47.71,698,22.8,21,6,1.1868121396922198,1.1868121396922198
2025-06-03 13:09:41.983,19.998,46.71,698,22.8,20,6,1.1956195619561956,1.1956195619561956
2025-06-03 13:09:43.243,20.001,46.67,698,22.8,20,6,1.1934403279836008,1.1934403279836008
2025-06-03 13:08:38.995,18.999,45.82,698,22.8,19,6,1.2116427180377916,1.2116427180377916
2025-06-03 13:08:40.260,18.999,45.73,698,22.8,19,6,1.206905626611927,1.206905626611927
2025-06-03 13:10:47.143,20.988,48.08,698,22.8,21,6,1.204497808271393,1.204497808271393
2025-06-03 13:10:48.390,20.989,48.02,698,22.8,21,6,1.2015817809328695,1.2015817809328695
2025-06-03 13:10:30.976,20.989,47.72,698,22.8,21,6,1.1872885797322406,1.1872885797322406
2025-06-03 13:08:45.312,19.001,45.66,699,22.8,19,6,1.2030945739697907,1.2030945739697907
2025-06-03 13:08:41.497,19.0,45.61,699,22.8,19,6,1.2005263157894737,1.2005263157894737
2025-06-03 13:08:42.794,18.998,45.67,699,22.8,19,6,1.2038109274660491,1.2038109274660491
2025-06-03 13:08:44.047,18.999,45.73,699,22.8,19,6,1.206905626611927,1.206905626611927
2025-06-03 13:09:38.170,20.0,46.71,699,22.8,20,6,1.1955,1.1955
2025-06-03 13:09:36.908,19.999,46.61,699,22.8,20,6,1.1905595279763987,1.1905595279763987
2025-06-03 13:10:34.704,20.989,47.83,700,22.8,21,6,1.1925294201724712,1.1925294201724712
2025-06-03 13:10:35.949,20.987,47.89,700,22.8,21,6,1.19550197741459,1.19550197741459
2025-06-03 13:10:42.188,20.987,47.9,700,22.8,21,6,1.1959784628579595,1.1959784628579595
2025-06-03 13:10:43.437,20.987,48.04,700,22.8,21,6,1.2026492590651356,1.2026492590651356
2025-06-03 13:10:40.934,20.988,47.71,701,22.8,21,6,1.1868686868686869,1.1868686868686869
2025-06-03 13:10:39.692,20.989,47.89,701,22.8,21,6,1.195388060412597,1.195388060412597
2025-06-03 13:08:49.126,19.0,45.8,701,22.8,19,6,1.2105263157894737,1.2105263157894737
2025-06-03 13:08:50.397,19.0,45.8,701,22.8,19,6,1.2105263157894737,1.2105263157894737
2025-06-03 13:08:51.665,18.999,45.81,702,22.8,19,6,1.211116374546029,1.211116374546029
2025-06-03 13:08:52.926,19.001,45.82,702,22.8,19,6,1.2115151834113993,1.2115151834113993
2025-06-03 13:10:38.449,20.989,47.82,702,22.8,21,6,1.1920529801324502,1.1920529801324502
2025-06-03 13:10:37.196,20.988,47.81,702,22.8,21,6,1.191633314274824,1.191633314274824
2025-06-03 13:08:47.859,18.999,45.75,703,22.8,19,6,1.2079583135954524,1.2079583135954524
2025-06-03 13:08:46.575,19.0,45.7,703,22.8,19,6,1.205263157894737,1.205263157894737
2025-06-03 13:09:34.367,20.0,46.64,703,22.8,20,6,1.192,1.192
2025-06-03 13:09:35.638,20.001,46.78,703,22.8,20,6,1.1989400529973502,1.1989400529973502
2025-06-03 13:09:29.327,19.996,46.6,704,22.8,20,6,1.190238047609522,1.190238047609522
2025-06-03 13:09:30.566,19.998,46.82,704,22.8,20,6,1.201120112011201,1.201120112011201
2025-06-03 13:09:39.449,20.001,46.71,705,22.8,20,6,1.1954402279886005,1.1954402279886005
2025-06-03 13:10:32.206,20.988,47.61,705,22.8,21,6,1.18210405946255,1.18210405946255
2025-06-03 13:10:33.453,20.989,47.72,705,22.8,21,6,1.1872885797322406,1.1872885797322406
2025-06-03 13:09:40.723,19.999,46.58,705,22.8,20,6,1.1890594529726486,1.1890594529726486
2025-06-03 13:09:31.816,20.002,46.76,706,22.8,20,6,1.197880211978802,1.197880211978802
2025-06-03 13:09:33.076,20.002,46.69,706,22.8,20,6,1.1943805619438057,1.1943805619438057
2025-06-03 13:09:26.819,20.0,46.47,710,22.8,20,6,1.1835,1.1835
2025-06-03 13:09:28.079,20.0,46.44,710,22.8,20,6,1.182,1.182
2025-06-03 13:13:57.821,23.958,51.99,821,22.8,24,6,1.218382168795392,1.218382168795392
2025-06-03 13:13:59.005,23.954,52.08,821,22.8,24,6,1.222342823745512,1.222342823745512
2025-06-03 13:14:04.945,23.961,51.97,822,22.8,24,6,1.217394933433496,1.217394933433496
2025-06-03 13:14:01.384,23.958,51.93,823,22.8,24,6,1.21587778612572,1.21587778612572
2025-06-03 13:14:00.193,23.955,52.45,823,22.8,24,6,1.2377374243372994,1.2377374243372994
2025-06-03 13:14:03.754,23.957,52.23,824,22.8,24,6,1.2284509746629375,1.2284509746629375
2025-06-03 13:14:02.563,23.955,51.92,824,22.8,24,6,1.2156126069714048,1.2156126069714048
2025-06-03 13:13:53.073,23.952,52.56,824,22.8,24,6,1.2424849699398797,1.2424849699398797
2025-06-03 13:13:54.257,23.951,52.16,824,22.8,24,6,1.2258360820007512,1.2258360820007512
2025-06-03 13:13:48.302,23.935,52.44,825,22.8,24,6,1.2383538750783372,1.2383538750783372
2025-06-03 13:13:49.500,23.941,52.34,825,22.8,24,6,1.2338665886972142,1.2338665886972142
2025-06-03 13:13:44.763,23.919,52.36,825,22.8,24,6,1.2358376186295412,1.2358376186295412
2025-06-03 13:13:43.583,23.925,52.16,825,22.8,24,6,1.2271682340647856,1.2271682340647856
2025-06-03 13:13:50.699,23.946,52.21,825,22.8,24,6,1.2281800718282805,1.2281800718282805
2025-06-03 13:13:51.886,23.942,52.3,825,22.8,24,6,1.2321443488430373,1.2321443488430373
2025-06-03 13:13:47.118,23.928,52.18,826,22.8,24,6,1.2278502173186223,1.2278502173186223
2025-06-03 13:13:45.926,23.925,52.46,826,22.8,24,6,1.2397074190177635,1.2397074190177635
2025-06-03 13:13:41.210,23.95,52.29,826,22.8,24,6,1.2313152400835072,1.2313152400835072
2025-06-03 13:13:42.397,23.954,52.38,826,22.8,24,6,1.234866828087167,1.234866828087167
2025-06-03 13:13:38.830,23.964,52.14,827,22.8,24,6,1.2243365047571355,1.2243365047571355
2025-06-03 13:13:40.014,23.956,52.3,827,22.8,24,6,1.2314242778427116,1.2314242778427116
2025-06-03 13:13:55.447,23.956,52.31,827,22.8,24,6,1.2318417098013026,1.2318417098013026
2025-06-03 13:13:56.638,23.958,52.53,827,22.8,24,6,1.2409216128224394,1.2409216128224394
2025-06-03 13:13:37.649,23.959,52.39,831,22.8,24,6,1.2350265036103345,1.2350265036103345
2025-06-03 13:13:36.464,23.96,52.07,831,22.8,24,6,1.2216193656093488,1.2216193656093488
2025-06-03 13:14:58.476,24.978,52.91,840,22.8,25,6,1.2054608055088476,1.2054608055088476
2025-06-03 13:14:57.298,24.978,53.11,840,22.8,25,6,1.2134678517095043,1.2134678517095043
2025-06-03 13:15:03.142,24.95,52.9,844,22.8,25,6,1.2064128256513025,1.2064128256513025
2025-06-03 13:15:01.976,24.958,53.09,844,22.8,25,6,1.2136389133744694,1.2136389133744694
2025-06-03 13:14:52.608,24.975,53.08,844,22.8,25,6,1.2124124124124125,1.2124124124124125
2025-06-03 13:14:53.784,24.978,52.86,844,22.8,25,6,1.2034590439586834,1.2034590439586834
2025-06-03 13:14:45.535,24.97,52.98,845,22.8,25,6,1.2086503804565478,1.2086503804565478
2025-06-03 13:14:46.705,24.975,52.49,845,22.8,25,6,1.188788788788789,1.188788788788789
2025-06-03 13:14:43.171,24.964,52.89,845,22.8,25,6,1.2053356833840732,1.2053356833840732
2025-06-03 13:14:44.362,24.964,52.73,845,22.8,25,6,1.198926454093895,1.198926454093895
2025-06-03 13:14:50.253,24.979,52.7,846,22.8,25,6,1.19700548460707,1.19700548460707
2025-06-03 13:14:51.432,24.977,52.74,846,22.8,25,6,1.1987028065820555,1.1987028065820555
2025-06-03 13:15:04.299,24.951,53.12,847,22.8,25,6,1.215181756242235,1.215181756242235
2025-06-03 13:15:05.471,24.959,53.04,847,22.8,25,6,1.2115870026844024,1.2115870026844024
2025-06-03 13:15:06.636,24.96,52.8,847,22.8,25,6,1.2019230769230766,1.2019230769230766
2025-06-03 13:14:40.843,24.957,52.96,847,22.8,25,6,1.2084785831630405,1.2084785831630405
